MSA_UPC13,POS_SKU,MatchType
7965594671960,796559467196,heuristic/substr
0731000350810,073100035081,heuristic/substr
0731000221590,073100022159,heuristic/substr
0731000908990,073100090899,heuristic/substr
0731000167830,073100016783,heuristic/substr
0731000190810,073100019081,heuristic/substr
6930674723180,693067472318,heuristic/substr
6930674723320,693067472332,heuristic/substr
6930674723010,693067472301,heuristic/substr
8587650040670,858765004067,heuristic/substr
8171270204590,817127020459,heuristic/substr
8587650017210,858765001721,heuristic/substr
8171270225070,817127022507,heuristic/substr
8587650017520,858765001752,heuristic/substr
8171270206190,817127020619,heuristic/substr
8171270289740,817127028974,heuristic/substr
8171270282640,817127028264,heuristic/substr
8171270282570,817127028257,heuristic/substr
8171270282400,817127028240,heuristic/substr
8171270282330,817127028233,heuristic/substr
8171270282260,817127028226,heuristic/substr
8171270282190,817127028219,heuristic/substr
8171270282020,817127028202,heuristic/substr
8171270293460,817127029346,heuristic/substr
8171270293220,817127029322,heuristic/substr
8171270293150,817127029315,heuristic/substr
8171270292230,817127029223,heuristic/substr
8171270292160,817127029216,heuristic/substr
8171270208930,817127020893,heuristic/substr
8171270203810,817127020381,heuristic/substr
8587650094820,858765009482,heuristic/substr
8587650095050,858765009505,heuristic/substr
8587650094990,858765009499,heuristic/substr
8171270208620,817127020862,heuristic/substr
8587650009600,858765000960,heuristic/substr
8587650009530,858765000953,heuristic/substr
8587650009390,858765000939,heuristic/substr
8171270219370,817127021937,heuristic/substr
8587650086760,858765008676,heuristic/substr
8587650068180,858765006818,heuristic/substr
8587650058800,858765005880,heuristic/substr
8587650058280,858765005828,heuristic/substr
8587650090930,858765009093,heuristic/substr
8587650058420,858765005842,heuristic/substr
8587650067880,858765006788,heuristic/substr
8587650068320,858765006832,heuristic/substr
8587650058590,858765005859,heuristic/substr
8171270263070,817127026307,heuristic/substr
8587650047220,858765004722,heuristic/substr
8587650073340,858765007334,heuristic/substr
8587650046470,858765004647,heuristic/substr
8587650059340,858765005934,heuristic/substr
8587650059410,858765005941,heuristic/substr
8587650067640,858765006764,heuristic/substr
8587650058350,858765005835,heuristic/substr
8587650047390,858765004739,heuristic/substr
8587650016530,858765001653,heuristic/substr
8587650088980,858765008898,heuristic/substr
8587650089800,858765008980,heuristic/substr
8171270295440,817127029544,heuristic/substr
8171270238870,817127023887,heuristic/substr
8587650073111,8587650073111,heuristic/substr
8171270274410,817127027441,heuristic/substr
8171270295060,817127029506,heuristic/substr
8171270208000,817127020800,heuristic/substr
8171270215310,817127021531,heuristic/substr
8140570014110,814057001411,heuristic/substr
8140570029130,814057002913,heuristic/substr
8140570021110,814057002111,heuristic/substr
8140570010150,814057001015,heuristic/substr
8140573017190,814057301719,heuristic/substr
8140574007190,814057400719,heuristic/substr
8140570027220,814057002722,heuristic/substr
8140570025170,814057002517,heuristic/substr
8140570023190,814057002319,heuristic/substr
8140570012130,814057001213,heuristic/substr
8445040007730,844504000773,heuristic/substr
8445040014730,844504001473,heuristic/substr
8445040014970,844504001497,heuristic/substr
6814670035840,681467003584,heuristic/substr
6814670032560,681467003256,heuristic/substr
6814670035220,681467003522,heuristic/substr
6814670031950,681467003195,heuristic/substr
6814670036140,681467003614,heuristic/substr
6814670032870,681467003287,heuristic/substr
8445040014800,844504001480,heuristic/substr
8445040028450,844504002845,heuristic/substr
8445040028760,844504002876,heuristic/substr
8445040014660,844504001466,heuristic/substr
8445040027770,844504002777,heuristic/substr
6814670035530,681467003553,heuristic/substr
