name,upc1,upc2
LEAP GO MIXED BERRY 1CT,8888613060480,0888861306048
LEAP GO MENTHOL 1CT,8888613021010,0888861302101
LEAP GO KIT 1CT,8888613010050,0888861301005
LEAP GO ISLAND CREAM 1CT,8888613020400,0888861302040
LEAP GO FRESH MANGO 1CT,8888613060240,0888861306024
LEAP GO CREAMY MINT 1CT,8888613020570,0888861302057
LEAP GO CITRUS MENTHOL 1CT,8888613060170,0888861306017
LEAP GO CAROLINA TOBACCO 1CT,8888613020640,0888861302064
LEAP GO ARCTIC BERRY 1CT,8888613021630,0888861302163
LEAP GO APPLE STRAWBERRY 1CT,8888613020020,0888861302002
LEAP DEVICE KIT 5CT,8888614109980,0888861410998
L/H MINI TUB L/C WTGN 7.2 1CT,7624464043220,0762446404322
L/H MINI TUB L/C ST 7.2 OZ 1CT,7624464243200,0762446424320
L/H  MINI TUB F/C NAT 7.2OZ 1C,7624464143210,0762446414321
KIWI STRAWBERRY 100G,8472440019010,0847244001901
KING PALM XL POUCH 5PK 15CT,8540290085641,0854029008564
KING PALM SLIM MAGIC MINT 20CT,8540290087551,0854029008755
KING PALM SLIM BANANA CRM 20CT,8540290086941,0854029008694
KING PALM SLIM 2/2.49 32CT                        KING PALM SLIM 2/2.49 32CT,8540290084891,0854029008489
KING PALM MINI WMELON WAV 20CT,8500189870491,0850018987049
KING PALM MINI MAGIC MINT 20CT,8500189870321,0850018987032
KING PALM MINI BERRY TERP 20CT,8540290087311,0854029008731
KING PALM MINI BANANA CRM 20CT,8500189870561,0850018987056
KING PALM MINI 1.9920CT                           KING PALM MINI 1.9920CT,8540290080435,0854029008043
KANGVAPE ONEE STICK 1800 10CT,KANG18000,00000KANG1800
KANGVAPE 1800 STRBRY ICE 10CT,1940400009050,0194040000905
KANGVAPE 1800 PINAPPL ICE 10CT,1940400007140,0194040000714
KANGVAPE 1800 PEACH ICE 10CT,1940400008510,0194040000851
KANGVAPE 1800 ORANGE SODA 10CT,1940400007520,0194040000752
KANGVAPE 1800 MIXED FRUIT 10CT,1940400007380,0194040000738
