msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,pos_account_number,pos_name,match_type,confidence,weeks_active
45003237,0,SWAD BUSINESS INC.,3843 JONESBORO ROAD SE,ATLANTA,GA,4045003237,SWAD BUSINESS INC.,exact_name,high,2
45005296,0,TM MART / T-MICHAEL MART LLC,"887 N INDIAN CREEK DR, STE C",CLARKSTON,GA,4045005296,TM MART / T-MICHAEL MART LLC,exact_name,high,1
45010243,0,CLARKSTON FOOD MART,927 N INDIAN CREEK DRIVE,CLARKSTON,GA,4045092623,CANTON FOOD MART,fuzzy_name,medium,6
45083030,0,GEORGIA OIL LLC/ BP REDAN,4794 REDAN ROAD,STONE MOUNTAIN,GA,4045083030,REDAN BP INC,address,medium,8
45088330,0,JUMBO PACKAGE STORE,"4071 REDAN RD, BLDG 4071",STONE MOUNTAIN,GA,4045088330,JUMBO PACKAGE STORE,exact_name,high,1
45097899,0,NURUL ENTERPRISE LLC,3259 BUFORD HWY,BROOKHEAVEN,GA,4045097899,NURUL ENTERPRISE LLC,exact_name,high,8
45122177,0,RAINA 210 INC/CHEVRON,514 HARDEEC STREET,DALLAS,GA,4045122177,RAINA 210 INC/CHEVRON ,exact_name,high,6
45132812,0,EAGLE MAGIC FOOD STORE,"2601 DEANS BRIDGE RD, STE A",AUGUSTA,GA,4045132812,EAGLE MAGIC FOOD STORE/2601 MARKET LLC,address,medium,1
45279680,0,THB BUFORD LLC,5425 BUFORD HWY NE,DORAVILLE,GA,7704527968,THB BUFORD LLC,exact_name,high,1
45475694,0,AAYYAN INVESTMENTS LLC,2394 BEAVER RUIN RD,NORCROSS,GA,4045475694,AAYYAN INVESTMENTS LLC,exact_name,high,1
45493971,0,RR BD CORPORATION,12 ATLANTA  AVE SW,ATLANTA,GA,4045493971,BANGLADESH 2025 INC/DISCOUNT FOOD MART ,address,medium,8
45498097,0,NOAH FOOD MART,2510 GRESHAM RD SE,ATLANTA,GA,4045498097,NOAH FOOD MART,exact_name,high,1
45534181,0,SHAGUFTA INVETSMENTS LLC,835 PACIFIC AVE,BREMEN,GA,4045534181,SHAGUFTA INVETSMENTS LLC/PACIFIC AVENUE FOOD MART,address,medium,4
