msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,msa_phone,pos_account_number,pos_name,match_type,confidence,matched_key,weeks_active
43700396,0,GENENE HELEN INC,1621 MEMORIAL DR SE,ATLANTA,GA,,4043700396,GENENE HELEN INC,account_key,high,43700396,3
43714443,0,AVONDALE ENTERPRISES LLC/ CHEVRO,2767 EAST COLLEGE AVE,DECATUR,GA,,4043714443,AVONDALE ENTERPRISES LLC/ CHEVRON,account_key,high,43714443,8
43730900,0,KALGI INC,1932 HOSEA L WILLIAMS DR NE,ATLANTA,GA,,4043730900,KALGI INC,account_key,high,43730900,2
43775405,0,DEVKI LAXMI LLC,600 W HOWARD AVE,DECATUR,GA,,4043775405,DEVKI LAXMI LLC,account_key,high,43775405,6
43890368,0,QUICK SERVE SUNCOAST DBA,5675 MEMORIAL DR,STONE MOUNTAIN,GA,,4043890368,QUICK SERVE,account_key,high,43890368,2
43895259,0,BP 5018 LLC,5018 PEACHTREE BLVD,CHAMBLEE,GA,,4043895259,PEACHTREE 5018 LLC,account_key,high,43895259,7
44192430,0,COVINGTON FOOD MART,9123 HIGHWAY 278 E,COVINGTON,GA,,4704419243,COVINGTON FOOD MART/SAIF FAMILY LLC,account_key,high,44192430,6
44371429,0,CHEVRON FOOD MART,2889 CHAMBLEE TUCKER RD,ATLANTA,GA,,4044371429,CHEVRON FOOD MART/ 2889 CHEVRON LLC,account_key,high,44371429,3
44472437,0,SELLEME,1046 HOLCOMBE RD STE 300,DECATUR,GA,,4044472437,SELLEME,account_key,high,44472437,8
44536184,0,JOSEPH INTERNATIONAL CORPORATION,1218 JOSEPH E BOONE BLVD NW,ATLANTA,GA,,4044536184,BSS INTERNATIONAL INC,account_key,high,44536184,4
44686316,0,SMART FOOD MART 3,2139 MAIN ST,EAST POINT,GA,,4044686316,SMART FOOD MART 3 /CHARANIYA FOODS LLC,account_key,high,44686316,6
44719963,0,DRUID HILLS MANAGEMENT,3875 NORTH DRUID HILLS RD,DECATUR,GA,,4044719963,DILSAM INC,account_key,high,44719963,3
44723784,0,PLAN B WHOLESALE,4507 MILLS PL SW,ATLANTA,GA,,4044723784,PLAN B WHOLESALE,account_key,high,44723784,2
44772955,0,BISWAS GROCERY & CAFE,2853 BUFORD HWY NE,BROOKHAVEN,GA,,4044772955,BISWAS GROCERY & CAFE,account_key,high,44772955,2
44848160,0,ALL WORLD DISCOUNT,832 HAMBRICK RD,STONE MOUNTAIN,GA,,4044848160,ALL WORLD DISCOUNT,account_key,high,44848160,4
44901040,0,ALBANY INVESTMENT 2317 LLC,707 W  HIGHLAND AVE,ALBANY,GA,,4704490104,ALBANY INVESTMENT 2317 LLC,account_key,high,44901040,1
44997480,0,NEIGHBORHOOD MART,612 ROCKBRIDGE RD SW,LILBURN,GA,,4704499748,EXPRESS POINT 612 INC,account_key,high,44997480,5
45002625,0,MEHARI SONS LLC,3923 GLENWOOD RD,DECATUR,GA,,4045002625,MEHARI SONS LLC/ DISCOUNT FOOD MART,account_key,high,45002625,3
45003237,0,SWAD BUSINESS INC.,3843 JONESBORO ROAD SE,ATLANTA,GA,,4045003237,SWAD BUSINESS INC.,account_key,high,45003237,2
45005296,0,TM MART / T-MICHAEL MART LLC,"887 N INDIAN CREEK DR, STE C",CLARKSTON,GA,,4045005296,TM MART / T-MICHAEL MART LLC,account_key,high,45005296,1
45010243,0,CLARKSTON FOOD MART,927 N INDIAN CREEK DRIVE,CLARKSTON,GA,,4045010243,YAA INVESTMENT LLC,account_key,high,45010243,6
45083030,0,GEORGIA OIL LLC/ BP REDAN,4794 REDAN ROAD,STONE MOUNTAIN,GA,,4045083030,REDAN BP INC,account_key,high,45083030,8
45088330,0,JUMBO PACKAGE STORE,"4071 REDAN RD, BLDG 4071",STONE MOUNTAIN,GA,,4045088330,JUMBO PACKAGE STORE,account_key,high,45088330,1
45097899,0,NURUL ENTERPRISE LLC,3259 BUFORD HWY,BROOKHEAVEN,GA,,4045097899,NURUL ENTERPRISE LLC,account_key,high,45097899,8
45122177,0,RAINA 210 INC/CHEVRON,514 HARDEEC STREET,DALLAS,GA,,4045122177,RAINA 210 INC/CHEVRON ,account_key,high,45122177,6
45132812,0,EAGLE MAGIC FOOD STORE,"2601 DEANS BRIDGE RD, STE A",AUGUSTA,GA,,4045132812,EAGLE MAGIC FOOD STORE/2601 MARKET LLC,account_key,high,45132812,1
45240442,0,PEACHMART,15 ANDREW YOUNG INTERNATIONAL BLVD,ATLANTA,GA,,4045240442,PEACHMART/DIAMOND BROS USA INC,account_key,high,45240442,8
45279680,0,THB BUFORD LLC,5425 BUFORD HWY NE,DORAVILLE,GA,,7704527968,THB BUFORD LLC,account_key,high,45279680,1
45475694,0,AAYYAN INVESTMENTS LLC,2394 BEAVER RUIN RD,NORCROSS,GA,,4045475694,AAYYAN INVESTMENTS LLC,account_key,high,45475694,1
45493971,0,RR BD CORPORATION,12 ATLANTA  AVE SW,ATLANTA,GA,,4045493971,BANGLADESH 2025 INC/DISCOUNT FOOD MART ,account_key,high,45493971,8
45498097,0,NOAH FOOD MART,2510 GRESHAM RD SE,ATLANTA,GA,,4045498097,NOAH FOOD MART,account_key,high,45498097,1
45534181,0,SHAGUFTA INVETSMENTS LLC,835 PACIFIC AVE,BREMEN,GA,,4045534181,SHAGUFTA INVETSMENTS LLC/PACIFIC AVENUE FOOD MART,account_key,high,45534181,4
45534794,0,5 STAR FOOD MART LLC/ FOOD MART,205 S CARROLL RD,VILLA RICA,GA,,4045534794,5 STAR FOOD MART LLC/ FOOD MART,account_key,high,45534794,3
45541348,0,KHOWAJA INC/SHELL FOOD MART,2995 N DRUID DILLS RD NE,ATLANTA,GA,,4045541348,ALYSINAN INVESTMENT LLC,account_key,high,45541348,7
45631045,0,DOLLAR PLUS INVESTMENT INC,2677 MCAFEE RD,DECATUR,GA,,4045631045,DOLLAR PLUS INVESTMENT INC,account_key,high,45631045,7
45650327,0,SAHYOGI FOOD & MEAT INC,2521 DONALD LEE HOLLOWELL PKWY NW,ATLANTA,GA,,4045650327,SAHYOG 1 FOOD & MEAT INC,account_key,high,45650327,1
45651387,0,RAUNAK INVESTMENT LLC,1050 HOLCAMBE RD,DECATUR,GA,,4045651387,RAUNAK INVESTMENT LLC,account_key,high,45651387,2
45651453,0,DONNELLY FOOD MART/MAHIMOU LLC,1294 DONNELLY AVE SW,ATLANTA,GA,,4045651453,DONNELLY FOOD MART/MAHIMOU LLC,account_key,high,45651453,7
45652751,0,ANSR ENTERPRISE INC,2320 CHESIR BRIDGE RD NE,ATLANTA,GA,,4045652751,ANSR ENTERPRISE INC,account_key,high,45652751,5
45739714,0,DAILY FOOD MART INC,2355 SCENIC HWY S,SNELLVILLE,GA,,4045739714,DAILY FOOD MART INC,account_key,high,45739714,1
45746099,0,MLK FOOD MART,2636 MARTIN LUTHER KING JR DR,FULTON,GA,,4045746099,MLK FOOD MART,account_key,high,45746099,7
45845155,0,INTOWN MARKET ATLANTA LLC,1176 MEMORIAL DR SE,ATLANTA,GA,,4045845155,INTOWN MARKET ATLANTA LLC ,account_key,high,45845155,3
45966160,0,157 COMMERCE DRIVE LLC,157 COMMERCE DR,VILLA RICA,GA,,7704596616,157 COMMERCE DRIVE LLC,account_key,high,45966160,5
46050830,0,MARATHON FOOD MART,535 NORTH GLYNN STREET,FAYETTEL,GA,,7704605083,SEEMA INVESTMENT INC/MARATHON FOOD MART,account_key,high,46050830,1
46089059,0,ELLENWOOD CHEVRON INC,5195 HIGHWAY 42,ELLENWOOD,GA,,4046089059,ELLENWOOD CHEVRON INC,account_key,high,46089059,8
46102788,0,YOHANNA INVESTMENT LLC,3550 MARTIN L KING JR DR SW,SNELLVILLE,GA,,4046102788,YOHANNA INVESTMENT LLC,account_key,high,46102788,2
46223888,0,WYZOS TOBACCO AND ACCESSORIES,465 BOULEVARD SE STE 105A,ATLANTA,GA,,4046223888,WYZOS TOBACCO AND ACCESSORIES,account_key,high,46223888,5
46258179,0,FAMILY CHOICE BUSINESS INC,2645 WESLY CHAPEL RD,DECATUR,GA,,4046258179,FAMILY CHOICE BUSINESS INC,account_key,high,46258179,2
46290360,0,CAMPBELTON INC/CHEVRON FOOD MART,4485 CAMBELTON RD STE B,ATLANTA,GA,,4046290360,CAMBELLTON CHEVRON LLC,account_key,high,46290360,8
46338190,0,METRO II FOOD & GAS,1925 MASONMILL RD,DECATUR,GA,,4046338190,METRO II FOOD & GAS,account_key,high,46338190,6
46342476,0,SR LIQUOR INC,3815 N DRUID HILLS RD,DECATUR,GA,,4046342476,DIAMOND DRAMS,account_key,high,46342476,2
46349942,0,ANIL INVESTMENT LLC/CITGO/K,1701 SCOTT BLVD,DECATUR,GA,,4046349942,ANIL INVESTMENT LLC/CITGO/K,account_key,high,46349942,8
46351399,0,ANS THREE D INC CHEVRN FM,1401 MORELAND AVE SE STE A,ATLANTA,GA,,4046351399,ANS THREE D INC/CHEVRON FOOD MART,account_key,high,46351399,1
46411307,0,PAVO 233 INC,233 HARRIS ST,PAVO,GA,,4046411307,PAVO 233 INC,account_key,high,46411307,4
46414978,0,ARN ENTERPRISES LLC,1996 CORINTH RD,NEWMAN,GA,,4046414978,ARN ENTERPRISES LLC,account_key,high,46414978,2
