Record,,3 Digit UPC,4 Digit UPC,5 Digit UPC,6 Digit UPC,7 Digit UPC,8 Digit UPC,9 Digit UPC,10 Digit UPC,11 Digit UPC,12 Digit UPC,13 Digit UPC,14 Digit UPC,15 Digit UPC,3 Digit UPC MATCH,4 Digit UPC MATCH,5 Digit UPC MATCH,6 Digit UPC MATCH,7 Digit UPC MATCH,8 Digit UPC MATCH,9 Digit UPC MATCH,10 Digit UPC MATCH,11 Digit UPC MATCH,12 Digit UPC MATCH,13 Digit UPC MATCH,14 Digit UPC MATCH,15 Digit UPC MATCH,TRUE MATCH,
BID,76925645365600769256453656ZILLOW HEMP RUSS CREAM 20CT                                                                         000020N      003231                                                                                                 00300000000095,769,7692,76925,769256,7692564,76925645,769256453,7692564536,76925645365,769256453656,7692564536560,76925645365600,7692564536560,0,0,0,0,0,0,0,0,0,7.69256E+11,0,0,0,1,
BID,76925645323600769256453236ZILLOW HEMP CHRY/ORG/GRP  20CT                                                                      000020N      003231                                                                                                 00300000000689,769,7692,76925,769256,7692564,76925645,769256453,7692564532,76925645323,769256453236,7692564532360,76925645323600,7692564532360,0,0,0,0,0,0,0,0,0,7.69256E+11,0,0,0,1,
BID,78476204487700784762044877ZIGZAG WRAPES BERRY 15CT                          ZIGZAG WRAPES BERRY 15CT                          000015Y      003231                                                                                                 00300000000000,784,7847,78476,784762,7847620,78476204,784762044,7847620448,78476204487,784762044877,7847620448770,78476204487700,7847620448770,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476204427300784762044273ZIGZAG WRAPE STRAIGHT UP 15CT                     ZIGZAG WRAPE STRAIGHT UP 15CT                     000015Y      003231                                                                                                 00300000000000,784,7847,78476,784762,7847620,78476204,784762044,7847620442,78476204427,784762044273,7847620442730,78476204427300,7847620442730,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476204407500784762044075ZIGZAG WRAP GRAPE 15CT                            ZIGZAG WRAP GRAPE 15CT                            000015Y      003231                                                                                                 00300000000000,784,7847,78476,784762,7847620,78476204,784762044,7847620440,78476204407,784762044075,7847620440750,78476204407500,7847620440750,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,00866009734700008660097347ZIG-ZAG ULTRA THIN BLUE 1 1/2                                                                       000050N      003231                                                                                                 00300000000008,008,0086,00866,008660,0086600,00866009,008660097,0086600973,00866009734,008660097347,0086600973470,00866009734700,0086600973470,0,0,0,0,0,0,0,0,0,8660097347,0,0,0,1,
BID,78476207233700784762072337ZIG-ZAG STRAWBERRY 3/99C 15CT                     ZIG-ZAG STRAWBERRY 3/99C 15CT                     000015Y      003231                                                                                                 00300000000020,784,7847,78476,784762,7847620,78476207,784762072,7847620723,78476207233,784762072337,7847620723370,78476207233700,7847620723370,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207231300784762072313ZIG-ZAG PEACH 3/99C 15CT                          ZIG-ZAG PEACH 3/99C 15CT                          000015Y      003231                                                                                                 00300000000020,784,7847,78476,784762,7847620,78476207,784762072,7847620723,78476207231,784762072313,7847620723130,78476207231300,7847620723130,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207234400784762072344ZIG-ZAG MANGO 3/99 15 CT                          ZIG-ZAG MANGO 3/99 15 CT                          000015Y      003231                                                                                                 00300000000000,784,7847,78476,784762,7847620,78476207,784762072,7847620723,78476207234,784762072344,7847620723440,78476207234400,7847620723440,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,223100000000002231ZIG-ZAG KING SLIM                                                                                   000001N      003231                                                                                                 00300000000000,223,2231,22310,223100,2231000,22310000,223100000,2231000000,22310000000,223100000000,2231000000000,22310000000000,2231000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
