ONE WEEK CIGARETTE ORDER - For Tuesday Delivery
Generated: 2025-09-06 17:00:58

SUPPLIER: B2B USA LLC
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
MARL 72 MENTHOL BLACK BOX 10CT,028200193506,26,6,7,$83.56,$584.92
MARL 72 SILVER BOX 10CT,028200138606,31,6,7,$80.07,$560.49
LUCKY STRIKE GOLD 100 BOX 10CT,043300109097,33,6,6,$59.40,$356.40
NEWPORT PLATINUM BLUE BOX 10CT,026100016291,14,6,6,$89.16,$534.96
BASIC GOLD 100 BOX 10CT,028200304612,11,6,6,$61.84,$371.04
KOOL BLUE 100 BOX 10CT,090500100218,30,6,6,$82.66,$495.96
VIRG SL MENTHOL  SPSL BOX 10CT,028200177803,14,6,6,$95.86,$575.16
WINST RED KING BOX 10CT,090500100096,14,5,6,$81.96,$491.76
MARL MENTHOL SMOOTH 100 10CT,028200130303,16,5,6,$83.56,$501.36
KOOL MENTHOL SOFT 10CT,090500100188,41,5,6,$80.96,$485.76
MARL BLACK GOLD 100 BOX ,028200334916,18,5,6,$75.81,$454.86
VIRG SL RED SPSL 10CT,028200177506,2,5,6,$93.66,$561.96
MARL MENTHOL SILVER 100 BOX ,028200148506,64,5,5,$83.56,$417.80
L&M MENTHOL BOX 10CT,028200310316,38,5,5,$79.58,$397.90
B&H PREMIUM MENTHOL BOX 10CT,028200172365,4,5,5,$109.56,$547.80
AMERICAN SPIRIT BLACK 10CT,047995855178,27,5,5,$88.75,$443.75
CAMEL 99'S BLUE BOX 10CT,012300260138,26,4,5,$84.41,$422.05
PALL MALL RED 100 BOX 10CT,027200018673,45,4,5,$76.39,$381.95
PALL MALL MNTH WHITE 100 BOX,027200347339,9,4,4,$78.09,$312.36
AMERICAN SPIRIT SKY 10CT,047995200411,44,4,4,$95.25,$381.00
PALL MALL MENTHOL BLK BOX 10CT,027200347247,10,4,4,$76.39,$305.56
WINST GOLD 100 BOX 10CT,090500100126,26,4,4,$81.96,$327.84
WINST RED 100 BOX 10CT,090500100102,27,4,4,$80.26,$321.04
VIRG SL MENTHOL BOX 10CT,028200177407,8,4,4,$95.86,$383.44
MAVERICK RED KING BOX 10CT,090500100034,7,4,4,$63.80,$255.20
SALEM MENTHOL SILVER BOX 10CT,090500100294,4,4,4,$95.64,$382.56
AMERICAN SPIRIT DARK GREEN 10C,047995855321,21,4,4,$93.55,$374.20
CAMEL FILTER BOX 10CT,012300103138,5,3,4,$84.41,$337.64
AMERICAN SPIRIT ORANGE 10CT,047995855338,31,3,4,$90.45,$361.80
KOOL MENTHOL BLACK 100 BX 10CT,090500100560,22,3,3,$80.06,$240.18
LUCKY STRIKE MENTHOL SILVER,043300187330,24,3,3,$59.40,$178.20
NEWPORT PLATINUM BLUE 100 BOX,026100016239,20,3,3,$87.46,$262.38
MARL BLEND #27 BOX 10CT,028200126405,18,3,3,$80.07,$240.21
MARL SB RED BOX 10CT,028200156501,35,3,3,$80.07,$240.21
MARL SB RED 100 BOX 10CT,028200156808,33,3,3,$80.07,$240.21
VIRG SL GOLD BOX 10CT,028200173300,7,3,3,$95.86,$287.58
SALEM MENTH SLVR  100 BOX 10CT,090500100300,26,3,3,$95.64,$286.92
BASIC GOLD BOX 10CT,028200304315,5,3,3,$61.84,$185.52
PALL MALL MNTH WHITE BOX 10CT,027200347308,-1,3,3,$78.09,$234.27
VIRG SL MENTHOL SILVR BOX 10CT,028200174406,8,3,3,$95.86,$287.58
FORTUNA BLUE BOX 10CT,090600301393,2,3,3,$79.15,$237.45
B&H DELUX MENTHOL 100 BOX 10CT,028200173003,8,3,3,$109.56,$328.68
KOOL MENTHOL BLACK BX 10CT,090500100553,10,3,3,$80.96,$242.88
NEWPORT NON MNTH GLD BX 10CT,026100806601,8,3,3,$79.56,$238.68
PALL MALL MENTHOL BOX 10CT,027200018598,16,3,3,$76.39,$229.17
PALL MALL RED BOX 10CT,027200018512,24,3,3,$78.09,$234.27
MISTY BLUE 120 BOX 10CT,020400050382,9,3,3,$101.92,$305.76
VIRG SL RED BOX 10CT,028200177209,3,3,3,$95.86,$287.58
CAPRI MAGENTA 120 BOX 10CT,027200011162,6,2,3,$121.01,$363.03
PALL MALL BLUE 100 BOX 10CT,027200018628,37,2,3,$78.09,$234.27
B&H LUXURY MENTHOL BOX ,028200172808,7,2,3,$109.56,$328.68
NEWPORT MNTH BLUE 100 BOX 10CT,026100805802,18,2,3,$89.16,$267.48
NEWPORT MENTHOL BLUE BOX 10CT,026100805833,0,2,3,$89.16,$267.48
MARL SOUTHERN CUT 10CT,028200142405,4,2,3,$80.07,$240.21
PARLIAMENT WHITE 100 BOX 10CT,028200179104,11,2,3,$95.86,$287.58
MARL MENTHOL ICE BOX 10CT,028200194909,9,2,2,$83.56,$167.12
DORAL MENTHOL GOLD 100 BOX,012300158138,16,2,2,$101.48,$202.96
VIRG SL MENTHOL GOLD BOX 10CT,028200173409,19,2,2,$95.86,$191.72
BASIC MENTHOL BOX 10CT,028200305312,18,2,2,$61.84,$123.68
VIRG SL SILVER BOX 10CT,028200174307,3,2,2,$93.66,$187.32
MARL MENTHOL BLUE BOX 10CT,028200137609,6,2,2,$83.56,$167.12
MISTY MENTHOL GREEN 120 10CT,020400053581,8,2,2,$101.92,$203.84
L&M RED BOX 10CT,028200309815,32,2,2,$79.58,$159.16
PALL MALL ORANGE 100 BOX 10CT,027200731527,15,2,2,$76.39,$152.78
WINST WHITE 100 BOX 10CT,090500100140,26,2,2,$81.96,$163.92
MAVERICK MENTHOL GOLD 100 BOX,090500100027,11,2,2,$63.80,$127.60
NEWPORT NON MNTH GOLD 100 BOX,026100806618,11,2,2,$79.56,$159.12
MISTY MENTHOL 100 BOX 10CT,043300052089,6,2,2,$101.92,$203.84
VIRG SL GOLD 120 BOX 10CT,028200173508,5,2,2,$95.86,$191.72
MARL MIDNIGHT BOX,028200161307,5,2,2,$75.81,$151.62
CAPRI MENTHOL INDIGO 100 BOX ,027200207022,9,2,2,$121.01,$242.02
DORAL GOLD 100 BOX 10CT,012300220835,11,2,2,$104.18,$208.36
L&M RED 100 BOX 10CT,028200309914,17,1,2,$77.88,$155.76
MAVERICK GOLD 100 BOX 10CT,090500100058,9,1,2,$63.80,$127.60
LUCKY STRIKE ACTIVATE GRN 10CT,043300187514,29,1,1,$63.40,$63.40
MARL MENTHOL BLUE 100 10CT,028200137708,6,1,1,$83.56,$83.56
PALL MALL ORANGE BOX 10CT,027200731459,11,1,1,$78.09,$78.09
BASIC MNTH SILVER 100 BOX,028200304810,7,1,1,$61.84,$61.84
DORAL MENTHOL 100 BOX 10CT,012300839136,28,1,1,$101.48,$101.48
DORAL RED 100 BOX 10CT,012300220804,8,1,1,$101.48,$101.48
DORAL SILVER BOX 10CT,012300844130,2,1,1,$104.18,$104.18
DORAL MENTHOL BOX 10CT,012300232845,7,1,1,$104.18,$104.18
CAPRI MNTH INDIGO 120 BOX 10CT,027200011179,11,1,1,$121.01,$121.01
MARL MENTHOL SMOOTH ICE 10CT,028200330611,3,1,1,$81.36,$81.36
MARL MENTHOL BOLD ICE 10CT,028200331311,6,1,1,$83.56,$83.56
MARL MENTHL SLATE 100 BOX 10CT,028200324313,4,1,1,$75.81,$75.81
CARLTON MENTHOL 100 BOX 10CT,043300020583,0,1,1,$121.01,$121.01
MARL SLATE BOX 10CT,028200324214,6,1,1,$75.81,$75.81
CAMEL TURKISH BLND GOLD 10CT,012300844017,22,1,1,$84.41,$84.41
MISTY MENTHOL SILVER 100 10CT,020400052683,3,1,1,$99.22,$99.22
CAMEL TURKISH ROYAL BOX 10CT,012300302890,20,1,1,$92.71,$92.71
B&H PREMIUM BOX 10CT,028200172266,8,1,1,$107.36,$107.36
DORAL GOLD BOX 10CT,012300841139,4,1,1,$101.48,$101.48
MORE 120 GREEN BOX 10CT,012300160131,4,1,1,$121.01,$121.01
MAVERICK GOLD BOX 10CT,090500100010,6,1,1,$63.80,$63.80
B&H DELUX BOX 10CT,028200172907,2,0,1,$104.86,$104.86
MISTY ROSE 100 BOX  10CT,020400051686,2,0,1,$101.92,$101.92
CAMEL CRUSH RICH 10CT,012300108751,8,0,1,$84.41,$84.41
MARL RED LABEL BOX 10CT,527432522509,7,0,1,$78.37,$78.37
CAMEL TURKISH BLEND SILVER 10C,012300844185,20,0,1,$84.41,$84.41
CAMEL TURKISH BLND ROYAL 10CT,012300843928,33,0,1,$82.71,$82.71
CARLTON RED BX,043300029081,2,0,1,$121.01,$121.01
CAMEL 99'S FILTERS 10CT,012300259132,27,0,1,$82.71,$82.71
PARLIAMENT SILVER BOX 10CT,028200181503,-2,0,1,$95.86,$95.86

,,,,Subtotal: 6805,,"$583,544.24"

SUPPLIER: STAR IMPORTERS AND WHOLESALERS
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
TETON 6 GREEN 100 BOX 10CT,853272008249,0,10,10,$25.99,$259.90
WILDHORSE MENTHOL GREEN 100 BX,708926563219,92,8,8,$38.00,$304.00
TETON 6 RED BOX 100 10CT,853272008188,4,8,8,$26.00,$208.00
TETON 18 RED BOX 10CT,853272008126,22,7,7,$25.99,$181.93
WILDHORSE GOLD 100 BOX 10CT,708926562311,23,6,6,$38.00,$228.00
TETON 18 BLUE BOX 10CT,853272008140,35,4,5,$26.00,$130.00
SHIELD MENTHOL GREEN 100 BOX,814057002517,51,4,5,$39.00,$195.00
SHIELD MENTHOL GREEN BOX,814057400719,26,4,4,$39.00,$156.00
WILDHORSE RED 100 BOX 10CT,708926561314,49,4,4,$38.00,$152.00
WILDHORSE MENTHOL GREEN BOX,708926563042,38,3,3,$38.00,$114.00
WILDHORSE RED KING BOX 10CT,708926561116,17,3,3,$38.00,$114.00
WILDHORSE SILVER 100 BOX 10CT,708926565213,19,1,1,$38.00,$38.00

,,,,Subtotal: 64,,"$2,080.83"


GRAND TOTAL,,,,7708 units,,"$614,930.67"
