SMART CIGARETTE ORDER - 1 WEEK SUPPLY
Generated: 2025-09-06 17:04:38
Analysis based on 12-month trends, weighted toward recent 8 weeks
Total Order: 6,177 units, $480,545.18

Description,SKU,Order Qty,Current Stock,Weeks Cover,8wk Avg,3mo Avg,12mo Avg,Trend,Growth %,Peak Wk,Min Wk,Volatility,Unit Cost,Margin,Weekly Profit
LD RED BOX 10CT,076940197001,7,25,3.8,6.6,3.6,3.0,DOWN ?,-70.6%,24,2,HIGH,$30.14,$1.24,$8.21
MARL 72 MENTHOL BLACK BOX 10CT,028200193506,6,26,5.0,5.3,4.7,4.1,DOWN ?,-28.6%,10,2,MED,$83.56,$3.70,$19.44
B&H PREMIUM MENTHOL BOX 10CT,028200172365,6,4,0.7,5.6,4.1,3.7,DOWN ?,-84.8%,11,4,MED,$109.56,$3.20,$18.00
CROWNS GOLD 100 BOX 10CT,090600392681,6,29,5.8,5.0,4.3,4.8,DOWN ?,-86.2%,9,2,MED,$32.22,$2.06,$10.28
MARL 72 SILVER BOX 10CT,028200138606,6,31,5.9,5.3,3.4,5.1,DOWN ?,-84.2%,10,2,MED,$80.07,$3.64,$19.11
MONTEGO MENTHOL GOLD BOX 10CT,011000010050,6,18,3.1,5.9,3.8,2.9,DOWN ?,-93.3%,11,2,HIGH,$39.66,$1.03,$6.05
MARL BLACK GOLD 100 BOX ,028200334916,5,18,3.3,5.5,3.6,3.3,DOWN ?,-65.0%,11,2,HIGH,$75.81,$8.82,$48.53
MONTEGO BLUE KING BOX 10CT,011000010012,5,16,3.0,5.3,3.8,3.5,DOWN ?,-84.6%,7,3,MED,$39.66,$1.03,$5.41
BASIC GOLD 100 BOX 10CT,028200304612,5,11,2.2,5.0,4.8,2.3,UP ?,27.3%,12,2,HIGH,$61.84,$26.89,$134.43
AMERICAN SPIRIT ORANGE 10CT,047995855338,5,31,6.4,4.9,4.0,3.9,DOWN ?,-87.5%,9,1,HIGH,$90.45,$3.10,$15.10
MARL SB RED BOX 10CT,028200156501,5,35,7.8,4.5,3.3,5.1,DOWN ?,-93.1%,9,2,HIGH,$80.07,$3.44,$15.46
PALL MALL MNTH BLACK 100 BOX,027200347278,5,5,1.1,4.4,3.6,4.4,DOWN ?,-66.7%,6,1,MED,$76.50,$3.47,$15.41
PALL MALL SELECT MENT 100 10CT,027200209514,5,5,1.0,5.3,3.3,2.9,DOWN ?,-55.6%,9,1,HIGH,$51.21,$1.08,$5.67
BASIC RED BOX 10CT,028200303714,5,8,1.8,4.4,4.0,3.5,UP ?,20.0%,10,3,HIGH,$61.25,$26.74,$118.43
LD SILVER 100 BOX 10CT,076940197094,5,15,2.5,6.0,2.8,1.1,UP ?,950.0%,16,1,HIGH,$30.14,$2.20,$13.20
SENECA BLUE 100 BOX 10CT,681467003225,5,6,1.2,5.2,3.4,2.4,UP ?,400.0%,10,2,HIGH,$30.69,$1.30,$6.72
WINST WHITE BOX 10CT,090500100133,5,7,1.4,4.9,3.7,2.5,UP ?,57.1%,12,1,HIGH,$81.76,$3.53,$17.15
AMERICAN SPIRIT BLACK 10CT,047995855178,5,27,5.7,4.7,3.2,3.2,DOWN ?,-11.1%,8,2,HIGH,$88.75,$3.72,$17.51
WILDHORSE MENTHOL GREEN BOX,708926563042,5,38,9.5,4.0,3.8,4.0,DOWN ?,-91.7%,7,1,HIGH,$38.00,$2.11,$8.44
WINST GOLD 100 BOX 10CT,090500100126,5,26,6.3,4.1,3.7,3.8,DOWN ?,-81.0%,7,1,MED,$81.96,$1.89,$7.81
MONTEGO MENT GOLD 100 BOX 10CT,011000010616,5,30,7.0,4.3,3.8,3.1,STABLE ?,0.0%,11,1,HIGH,$39.66,$1.03,$4.41
BASIC RED 100 BOX 10CT,028200304018,4,7,1.6,4.4,3.8,1.6,UP ?,90.0%,8,2,MED,$61.25,$26.80,$117.27
VIRG SL MENTHOL BOX 10CT,028200177407,5,8,1.8,4.6,2.7,3.2,DOWN ?,-85.0%,10,2,HIGH,$95.86,$3.79,$17.31
MARL MENTHOL SMOOTH 100 10CT,028200130303,5,16,3.9,4.1,3.5,3.2,DOWN ?,-84.2%,8,1,HIGH,$83.56,$3.57,$14.74
WILDHORSE GOLD 100 BOX 10CT,708926562311,5,23,5.4,4.3,3.4,2.8,DOWN ?,-85.0%,6,1,MED,$38.00,$2.99,$12.71
BASIC GOLD BOX 10CT,028200304315,5,5,1.4,3.6,3.9,3.0,UP ?,17.6%,9,2,HIGH,$61.84,$26.35,$95.52
LD SILVER BOX 10CT,076940197087,5,15,2.9,5.2,2.3,1.3,UP ?,425.0%,16,1,HIGH,$30.14,$3.83,$19.92
TETON 18 GREEN BOX 10CT,853272008164,4,37,6.5,5.7,1.8,1.2,DOWN ?,-37.5%,6,5,LOW,$23.29,$3.30,$18.70
PARLIAMENT WHITE 100 BOX 10CT,028200179104,5,11,2.5,4.3,2.8,3.2,DOWN ?,-92.9%,8,1,HIGH,$95.86,$3.88,$16.80
AMERICAN SPIRIT DARK GREEN 10C,047995855321,4,21,5.4,3.9,3.2,3.2,DOWN ?,-75.0%,8,1,HIGH,$93.55,$3.85,$14.91
PALL MALL RED 100 BOX 10CT,027200018673,4,45,12.9,3.5,2.9,4.5,DOWN ?,-87.5%,7,2,HIGH,$76.39,$3.74,$13.10
PALL MALL MNTH WHITE 100 BOX,027200347339,4,9,2.2,4.1,2.7,3.0,DOWN ?,-73.7%,7,1,MED,$78.09,$3.06,$12.62
AMERICAN SPIRIT SKY 10CT,047995200411,4,44,10.7,4.1,2.8,2.9,DOWN ?,-94.7%,6,1,MED,$95.25,$2.54,$10.48
SALEM MENTHOL SILVER BOX 10CT,090500100294,4,4,1.0,4.1,2.7,2.6,DOWN ?,-68.4%,6,1,MED,$95.64,$4.19,$17.34
TETON 6 BLUE 100 BOX 10CT,853272008201,5,29,5.1,5.7,1.5,0.9,UP ?,1600.0%,11,1,HIGH,$23.29,$2.90,$16.43
SENECA MENTHOL KING BOX 10CT,681467003614,4,45,11.3,4.0,2.3,3.7,DOWN ?,-28.6%,7,1,MED,$30.69,$1.49,$5.95
WILDHORSE RED 100 BOX 10CT,708926561314,4,49,13.5,3.6,2.9,3.0,DOWN ?,-90.5%,6,1,MED,$38.00,$2.99,$10.84
PALL MALL RED BOX 10CT,027200018512,4,24,6.9,3.5,2.7,3.7,DOWN ?,-76.9%,6,1,HIGH,$78.09,$2.74,$9.59
CROWNS RED BOX 10CT,090600392605,4,28,7.3,3.9,3.1,2.4,UP ?,110.0%,6,2,MED,$32.22,$2.04,$7.86
VIRG SL RED SPSL 10CT,028200177506,4,2,0.5,4.1,2.4,2.0,DOWN ?,-78.6%,10,1,HIGH,$93.66,$5.56,$22.95
MARL BLEND #27 BOX 10CT,028200126405,4,18,5.3,3.4,2.7,3.4,DOWN ?,-83.3%,6,1,HIGH,$80.07,$3.67,$12.39
PALL MALL BLUE 100 BOX 10CT,027200018628,4,37,12.3,3.0,3.1,4.0,DOWN ?,-95.5%,7,1,HIGH,$78.09,$3.34,$10.02
LD DARK GREEN BOX 10CT,076940197049,4,12,3.1,3.9,2.8,1.9,DOWN ?,-77.3%,7,1,HIGH,$30.14,$0.85,$3.31
VIRG SL MENTHOL SILVR BOX 10CT,028200174406,4,8,2.5,3.3,2.9,2.8,DOWN ?,-85.7%,5,2,MED,$95.86,$3.78,$12.29
NEWPORT PLATINUM BLUE 100 BOX,026100016239,4,20,5.9,3.4,2.5,3.3,DOWN ?,-93.8%,5,1,MED,$87.46,$2.63,$8.88
LD BLUE 100 BOX 10CT,076940197032,4,0,0.0,3.9,2.3,2.1,DOWN ?,-90.9%,17,1,HIGH,$30.14,$1.33,$5.14
BASIC BLUE 100 BOX 10CT,028200303615,4,11,2.2,5.0,1.0,1.0,STABLE ?,nan%,5,5,LOW,$61.25,$26.94,$134.70
L&M RED BOX 10CT,028200309815,4,32,10.7,3.0,2.4,4.1,DOWN ?,-92.3%,5,1,HIGH,$79.58,$3.13,$9.39
CAMEL 99'S BLUE BOX 10CT,012300260138,4,26,8.3,3.1,3.1,2.7,UP ?,125.0%,11,1,HIGH,$84.41,$2.64,$8.31
LUCKY STRIKE ACTIVATE GRN 10CT,043300187514,4,29,7.9,3.7,2.0,2.1,DOWN ?,-81.8%,7,2,HIGH,$63.40,$2.59,$9.48
TETON 18 BLUE BOX 10CT,853272008140,4,35,8.4,4.2,1.9,1.2,DOWN ?,-80.0%,10,1,HIGH,$26.00,$2.04,$8.50
LUCKY STRIKE MENTHOL SLV 100,043300187361,4,9,2.7,3.4,2.4,2.1,DOWN ?,-61.5%,5,1,MED,$59.33,$4.40,$14.84
WINST RED 100 BOX 10CT,090500100102,4,27,8.6,3.1,2.3,2.6,DOWN ?,-80.0%,6,1,MED,$80.26,$3.53,$11.03
LUCKY STRIKE MENTHOL SILVER,043300187330,4,24,8.0,3.0,2.5,2.4,DOWN ?,-75.0%,5,1,HIGH,$59.40,$4.48,$13.45
PALL MALL MENTHOL BLK BOX 10CT,027200347247,4,10,3.2,3.1,2.1,2.3,DOWN ?,-62.5%,8,1,HIGH,$76.39,$3.74,$11.68
PALL MALL MNTH WHITE BOX 10CT,027200347308,4,-1,-0.3,3.0,2.4,2.4,DOWN ?,-76.5%,7,1,HIGH,$78.09,$3.02,$9.06
MARL SB RED 100 BOX 10CT,028200156808,4,33,11.5,2.9,2.3,2.6,DOWN ?,-80.0%,7,1,HIGH,$80.07,$3.28,$9.38
WILDHORSE RED KING BOX 10CT,708926561116,3,17,5.1,3.3,1.7,2.2,DOWN ?,-70.0%,4,1,MED,$38.00,$2.62,$8.72
MAVERICK RED KING BOX 10CT,090500100034,3,7,2.2,3.1,2.0,1.9,DOWN ?,-80.0%,7,2,HIGH,$63.80,$2.21,$6.91
SHIELD MENTHOL GREEN BOX,814057400719,3,26,9.9,2.6,2.3,2.9,DOWN ?,-54.5%,7,1,HIGH,$39.00,$1.43,$3.77
PALL MALL SELECT MENT BOX 10CT,027200205967,3,13,4.1,3.1,2.3,2.0,DOWN ?,-66.7%,6,2,HIGH,$51.21,$1.08,$3.39
MONTEGO MENTHOL SILVR BOX 10CT,011000010067,3,15,5.2,2.9,2.3,2.4,DOWN ?,-73.3%,4,2,MED,$39.66,$1.03,$2.96
L&M RED 100 BOX 10CT,028200309914,3,17,5.0,3.4,1.5,1.7,DOWN ?,-66.7%,7,2,HIGH,$77.88,$4.35,$14.78
CAMEL FILTER BOX 10CT,012300103138,3,5,1.6,3.1,1.8,2.0,DOWN ?,-37.5%,6,1,HIGH,$84.41,$3.21,$10.10
SHIELD SILVER 100 BOX 10CT,814057002913,3,9,2.3,4.0,0.8,1.3,DOWN ?,-80.0%,8,1,HIGH,$41.65,$1.14,$4.56
